Time,Temperature_C,Solar_W_m2,Wind_Speed_m_s,Price_CNY_kWh,Load_kW,Wind_Gen_MW,PV_Gen_MW,REN_Gen_MW,Date,Day_Index,Day_Label,Hour,Load_MW
2023-01-01 00:00:00,-0.71,0.0,4.5,0.309,7941.34,3.333333333333333,0.0,3.333333333333333,2023-01-01,0,1,0,7.94134
2023-01-01 01:00:00,-4.7,0.0,5.7,0.292,10106.18,6.000000000000001,0.0,6.000000000000001,2023-01-01,0,1,1,10.10618
2023-01-01 02:00:00,-1.17,0.0,4.1,0.304,8624.47,2.4444444444444438,0.0,2.4444444444444438,2023-01-01,0,1,2,8.624469999999999
2023-01-01 03:00:00,-2.29,0.0,2.1,0.302,11653.89333,0.0,0.0,0.0,2023-01-01,0,1,3,11.65389333
2023-01-01 04:00:00,-4.21,0.0,9.8,0.3,13051.68667,15.111111111111112,0.0,15.111111111111112,2023-01-01,0,1,4,13.051686669999999
2023-01-01 05:00:00,-4.31,0.0,9.2,0.309,12267.12333,13.777777777777775,0.0,13.777777777777775,2023-01-01,0,1,5,12.26712333
2023-01-01 06:00:00,0.22,0.0,6.6,0.29,8865.906667,7.999999999999999,0.0,7.999999999999999,2023-01-01,0,1,6,8.865906666999999
2023-01-01 07:00:00,2.91,309.71,7.0,0.645,7592.153333,8.88888888888889,11.797659146,20.68654803488889,2023-01-01,0,1,7,7.592153333000001
2023-01-01 08:00:00,-0.74,601.42,5.3,0.643,9328.71,5.111111111111111,23.216977111999995,28.328088223111106,2023-01-01,0,1,8,9.32871
2023-01-01 09:00:00,0.41,858.17,2.0,0.643,10857.09333,0.0,32.990286042,32.990286042,2023-01-01,0,1,9,10.85709333
2023-01-01 10:00:00,2.14,852.05,5.9,1.19,12343.96667,6.444444444444445,32.54865082,38.99309526444444,2023-01-01,0,1,10,12.34396667
2023-01-01 11:00:00,0.74,1210.04,5.0,1.208,17872.27,4.444444444444445,35.0,39.44444444444444,2023-01-01,0,1,11,17.87227
2023-01-01 12:00:00,6.73,1027.76,4.1,1.203,18307.48,2.4444444444444438,35.0,37.44444444444444,2023-01-01,0,1,12,18.307479999999998
2023-01-01 13:00:00,6.8,1284.71,9.6,1.198,17559.36,14.666666666666666,35.0,49.666666666666664,2023-01-01,0,1,13,17.55936
2023-01-01 14:00:00,7.92,968.03,2.2,1.208,14936.72333,0.0,35.0,35.0,2023-01-01,0,1,14,14.936723330000001
2023-01-01 15:00:00,7.94,1065.06,4.8,0.641,14114.38333,3.9999999999999996,35.0,39.0,2023-01-01,0,1,15,14.11438333
2023-01-01 16:00:00,4.72,171.63,3.7,0.652,11961.58333,1.5555555555555558,6.494341896000001,8.049897451555557,2023-01-01,0,1,16,11.96158333
2023-01-01 17:00:00,5.63,601.42,6.5,0.652,9967.93,7.777777777777778,22.680630755999996,30.458408533777774,2023-01-01,0,1,17,9.96793
2023-01-01 18:00:00,3.88,309.71,10.8,1.2,7495.31,17.333333333333336,11.755600528000002,29.088933861333338,2023-01-01,0,1,18,7.495310000000001
2023-01-01 19:00:00,5.11,0.0,4.0,1.199,9839.63,2.2222222222222223,0.0,2.2222222222222223,2023-01-01,0,1,19,9.83963
2023-01-01 20:00:00,2.7,0.0,4.7,1.208,11057.54,3.777777777777778,0.0,3.777777777777778,2023-01-01,0,1,20,11.057540000000001
2023-01-01 21:00:00,-1.78,0.0,9.2,0.657,11484.17667,13.777777777777775,0.0,13.777777777777775,2023-01-01,0,1,21,11.48417667
2023-01-01 22:00:00,0.93,0.0,6.9,0.649,8346.09,8.666666666666668,0.0,8.666666666666668,2023-01-01,0,1,22,8.34609
2023-01-01 23:00:00,1.08,0.0,11.2,0.292,8257.63,18.22222222222222,0.0,18.22222222222222,2023-01-01,0,1,23,8.257629999999999
2023-01-02 00:00:00,-1.29,0.0,2.2,0.303,8882.673333,0.0,0.0,0.0,2023-01-02,1,1,0,8.882673333000001
2023-01-02 01:00:00,-1.58,0.0,10.8,0.296,9264.823333,17.333333333333336,0.0,17.333333333333336,2023-01-02,1,1,1,9.264823333
2023-01-02 02:00:00,-6.03,0.0,6.7,0.298,10629.49333,8.222222222222223,0.0,8.222222222222223,2023-01-02,1,1,2,10.629493329999999
2023-01-02 03:00:00,-9.24,0.0,6.5,0.298,12997.47667,7.777777777777778,0.0,7.777777777777778,2023-01-02,1,1,3,12.99747667
2023-01-02 04:00:00,-4.47,0.0,1.7,0.301,12934.24333,0.0,0.0,0.0,2023-01-02,1,1,4,12.93424333
2023-01-02 05:00:00,-2.1,0.0,4.4,0.295,11374.69,3.1111111111111116,0.0,3.1111111111111116,2023-01-02,1,1,5,11.374690000000001
2023-01-02 06:00:00,-2.85,0.0,1.7,0.29,9205.91,0.0,0.0,0.0,2023-01-02,1,1,6,9.20591
2023-01-02 07:00:00,1.0,309.45,6.3,0.65,8471.25,7.333333333333333,11.870502000000002,19.203835333333334,2023-01-02,1,1,7,8.47125
2023-01-02 08:00:00,-1.12,480.74,6.6,0.643,8596.036667,7.999999999999999,18.583870032,26.583870032,2023-01-02,1,1,8,8.596036667
2023-01-02 09:00:00,0.93,857.47,3.9,0.641,10789.39333,1.9999999999999998,32.900952406,34.900952406,2023-01-02,1,1,9,10.789393330000001
2023-01-02 10:00:00,3.99,1064.19,5.7,1.197,12009.39333,6.000000000000001,35.0,41.0,2023-01-02,1,1,10,12.00939333
2023-01-02 11:00:00,4.73,1209.05,6.2,1.192,16486.08333,7.111111111111112,35.0,42.111111111111114,2023-01-02,1,1,11,16.48608333
2023-01-02 12:00:00,6.85,1283.65,3.7,1.196,18438.17,1.5555555555555558,35.0,36.55555555555556,2023-01-02,1,1,12,18.43817
2023-01-02 13:00:00,4.78,256.73,3.1,1.205,17901.18667,0.2222222222222224,9.712301284,9.934523506222224,2023-01-02,1,1,13,17.901186669999998
